label=Displacement
num_items=240

0:	-4.059548e-05 0.000000e+00 
1:	-3.620162e-05 0.000000e+00 
2:	-3.402019e-05 0.000000e+00 
3:	-4.069922e-05 0.000000e+00 
4:	-3.527492e-05 1.251445e-06 
5:	-3.353414e-05 4.242290e-06 
6:	-4.065618e-05 0.000000e+00 
7:	-3.310769e-05 3.774578e-06 
8:	-3.022558e-05 8.940887e-06 
9:	-4.068771e-05 0.000000e+00 
10:	-3.301253e-05 4.478808e-06 
11:	-2.824915e-05 1.183459e-05 
12:	-4.088762e-05 0.000000e+00 
13:	-3.165926e-05 8.639893e-06 
14:	-2.631501e-05 1.964810e-05 
15:	-4.098597e-05 0.000000e+00 
16:	-3.108265e-05 1.411549e-05 
17:	-2.454496e-05 2.820679e-05 
18:	-4.078638e-05 0.000000e+00 
19:	-3.285790e-05 1.896069e-05 
20:	-2.374562e-05 3.663885e-05 
21:	-4.077236e-05 0.000000e+00 
22:	-3.572608e-05 1.906209e-05 
23:	-2.801462e-05 3.602733e-05 
24:	-4.080950e-05 0.000000e+00 
25:	-4.054621e-05 1.922079e-05 
26:	-3.677435e-05 3.560044e-05 
27:	-4.129073e-05 0.000000e+00 
28:	-5.750853e-05 0.000000e+00 
29:	-7.847533e-05 0.000000e+00 
30:	-9.898880e-05 0.000000e+00 
31:	-1.200225e-04 0.000000e+00 
32:	-1.410399e-04 0.000000e+00 
33:	-1.620912e-04 0.000000e+00 
34:	-1.831090e-04 0.000000e+00 
35:	-1.935487e-04 0.000000e+00 
36:	-4.150479e-05 1.869249e-06 
37:	-5.742898e-05 2.490343e-06 
38:	-7.850851e-05 2.207653e-06 
39:	-9.897488e-05 2.277869e-06 
40:	-1.200283e-04 2.228299e-06 
41:	-1.410374e-04 2.230384e-06 
42:	-1.620923e-04 2.212257e-06 
43:	-1.831083e-04 2.201212e-06 
44:	-1.935490e-04 2.187806e-06 
45:	-4.231867e-05 3.714127e-06 
46:	-5.707958e-05 4.968388e-06 
47:	-7.860868e-05 4.430699e-06 
48:	-9.892789e-05 4.545852e-06 
49:	-1.200389e-04 4.462292e-06 
50:	-1.410296e-04 4.457804e-06 
51:	-1.620917e-04 4.426160e-06 
52:	-1.831053e-04 4.401208e-06 
53:	-1.935469e-04 4.376273e-06 
54:	-9.459461e-06 5.992222e-05 
55:	-3.146781e-05 3.429953e-05 
56:	-5.733566e-05 3.359920e-05 
57:	-7.777468e-05 3.266116e-05 
58:	-9.903933e-05 3.229653e-05 
59:	-1.199127e-04 3.219563e-05 
60:	-1.410121e-04 3.197771e-05 
61:	-1.620528e-04 3.183393e-05 
62:	-1.830773e-04 3.161429e-05 
63:	-1.935191e-04 3.145405e-05 
64:	-1.588223e-05 1.112838e-04 
65:	-2.414025e-05 1.043489e-04 
66:	-5.138501e-05 9.267409e-05 
67:	-7.487915e-05 8.990784e-05 
68:	-9.712453e-05 8.848232e-05 
69:	-1.187804e-04 8.771027e-05 
70:	-1.401030e-04 8.718008e-05 
71:	-1.613033e-04 8.666960e-05 
72:	-1.823722e-04 8.611258e-05 
73:	-1.928440e-04 8.570195e-05 
74:	-1.760658e-05 1.612094e-04 
75:	-2.792027e-05 1.577856e-04 
76:	-4.938020e-05 1.518721e-04 
77:	-7.277212e-05 1.472405e-04 
78:	-9.522625e-05 1.449997e-04 
79:	-1.171929e-04 1.435152e-04 
80:	-1.387661e-04 1.424869e-04 
81:	-1.600729e-04 1.416131e-04 
82:	-1.812091e-04 1.407147e-04 
83:	-1.917149e-04 1.401533e-04 
84:	-1.899443e-05 2.132039e-04 
85:	-2.863954e-05 2.116682e-04 
86:	-5.001413e-05 2.073292e-04 
87:	-7.176955e-05 2.039153e-04 
88:	-9.390979e-05 2.011685e-04 
89:	-1.157383e-04 1.992937e-04 
90:	-1.373138e-04 1.978260e-04 
91:	-1.586514e-04 1.966010e-04 
92:	-1.798113e-04 1.954293e-04 
93:	-1.903453e-04 1.947914e-04 
94:	-1.956463e-05 2.658462e-04 
95:	-2.959599e-05 2.650013e-04 
96:	-5.015581e-05 2.623129e-04 
97:	-7.150191e-05 2.593789e-04 
98:	-9.297666e-05 2.568906e-04 
99:	-1.145191e-04 2.547742e-04 
100:	-1.359217e-04 2.530562e-04 
101:	-1.571911e-04 2.515645e-04 
102:	-1.783381e-04 2.501938e-04 
103:	-1.888801e-04 2.495245e-04 
104:	-1.978399e-05 3.193920e-04 
105:	-2.982063e-05 3.187780e-04 
106:	-5.030657e-05 3.167459e-04 
107:	-7.110316e-05 3.143991e-04 
108:	-9.220338e-05 3.120429e-04 
109:	-1.133739e-04 3.099410e-04 
110:	-1.345681e-04 3.080812e-04 
111:	-1.557187e-04 3.064456e-04 
112:	-1.768274e-04 3.049475e-04 
113:	-1.873639e-04 3.042496e-04 
114:	-1.974831e-05 3.732404e-04 
115:	-2.975839e-05 3.727781e-04 
116:	-4.998569e-05 3.711030e-04 
117:	-7.050231e-05 3.690216e-04 
118:	-9.122836e-05 3.668576e-04 
119:	-1.121350e-04 3.647843e-04 
120:	-1.331276e-04 3.629092e-04 
121:	-1.541731e-04 3.612156e-04 
122:	-1.752378e-04 3.596598e-04 
