label=ReactionForce
num_items=240

0:	-1.812629e-10 -1.519366e+00 
1:	 2.526159e-10 -1.561686e+00 
2:	-2.717437e-11 -7.951645e+00 
3:	-6.115695e-10 -6.032434e-02 
4:	 6.721888e-11  2.724073e-10 
5:	 4.287579e-10 -8.314668e-11 
6:	-6.130817e-09  1.255970e-01 
7:	 2.009519e-09  1.370855e-10 
8:	 2.471271e-09  3.229254e-09 
9:	-7.387798e-09 -5.428751e-03 
10:	-2.103658e-09  7.934915e-10 
11:	 7.216354e-09  9.250217e-10 
12:	 1.017359e-09 -1.712374e-02 
13:	 1.295478e-09  1.478343e-09 
14:	 8.927751e-09 -3.931500e-11 
15:	 3.305307e-10  7.337620e-03 
16:	-1.003764e-09  3.947848e-10 
17:	-5.751201e-10 -1.685201e-10 
18:	 6.490818e-09 -1.126082e-02 
19:	-4.180822e-10  2.045829e-10 
20:	 1.173129e-09 -7.575892e-10 
21:	 6.359844e-10  2.535519e-04 
22:	 6.318673e-10 -5.909212e-10 
23:	 1.444182e-09  1.512410e-09 
24:	-1.377903e-09 -4.264346e-03 
25:	-1.309338e-09 -1.008493e-09 
26:	 3.944627e-09  1.563248e-09 
27:	-5.709129e-10 -8.978348e+00 
28:	 2.512862e-09 -1.216025e+01 
29:	 1.041939e-09 -1.163531e+01 
30:	-4.272200e-09 -1.143151e+01 
31:	 5.710713e-11 -1.131987e+01 
32:	 4.954561e-09 -1.123580e+01 
33:	-6.120007e-10 -1.115919e+01 
34:	-3.990379e-09 -7.398512e+00 
35:	-6.066165e-11 -3.683309e+00 
36:	 9.828024e-10 -6.502800e-09 
37:	-2.142708e-09 -1.268387e-08 
38:	 4.263387e-10 -7.706947e-09 
39:	 1.668976e-09 -1.678338e-08 
40:	-3.185322e-09 -1.574535e-08 
41:	 2.160251e-09 -2.417925e-08 
42:	 3.759244e-09 -2.326331e-08 
43:	 2.024747e-10 -1.201351e-08 
44:	-2.153120e-09 -9.383638e-09 
45:	 2.113144e-09  1.461039e-08 
46:	-1.229865e-09  8.903892e-09 
47:	-3.681525e-10  2.414297e-08 
48:	-5.445508e-10  1.292004e-08 
49:	 2.624017e-09  2.099048e-08 
50:	-1.362285e-09  1.739883e-08 
51:	 4.371616e-09  1.974887e-08 
52:	-3.367852e-09  1.448877e-08 
53:	-3.721388e-09  8.013852e-09 
54:	 4.259034e-10 -4.338510e-10 
55:	-4.768802e-11 -1.105604e-09 
56:	-2.626332e-10 -2.085804e-09 
57:	-7.576960e-12 -7.972183e-10 
58:	 1.705162e-10 -1.522708e-09 
59:	-2.591853e-10 -2.109283e-10 
60:	-1.775027e-09 -2.273186e-09 
61:	-7.058443e-10 -9.511254e-10 
62:	 3.722057e-10 -1.422080e-09 
63:	-4.834631e-10  1.935080e-09 
64:	-8.076507e-09  4.099667e-09 
65:	 5.837759e-10 -1.237086e-09 
66:	 7.289219e-11 -8.163987e-11 
67:	-7.433206e-10 -3.320421e-10 
68:	-2.849165e-10  7.451952e-10 
69:	 7.983844e-10 -4.467374e-10 
70:	-1.466384e-10 -2.648455e-10 
71:	-8.448457e-10  2.563422e-10 
72:	-2.179412e-10  8.409797e-10 
73:	 5.207915e-11 -2.139184e-10 
74:	-9.363198e-10 -4.115866e-09 
75:	-7.588333e-10  4.551863e-10 
76:	 1.458368e-09  1.551282e-09 
77:	-1.396562e-09  5.745468e-10 
78:	 1.165470e-09  2.132101e-10 
79:	 1.131225e-10 -1.624288e-09 
80:	 9.011496e-10 -7.011254e-11 
81:	-1.926754e-09 -4.126021e-10 
82:	 5.466501e-10  1.287077e-09 
83:	-3.545620e-10 -1.013509e-09 
84:	-1.055208e-08 -1.261161e-09 
85:	-1.329260e-09 -2.379118e-10 
86:	-2.065468e-10  1.170040e-09 
87:	-9.505127e-10 -1.642961e-11 
88:	-7.694461e-11 -1.585272e-10 
89:	-7.461058e-10 -1.247467e-10 
90:	 3.009203e-10 -7.922007e-10 
91:	 9.171956e-10  1.241843e-09 
92:	-1.590844e-09 -4.239978e-10 
93:	 1.592350e-09  5.246183e-11 
94:	-6.727207e-09  1.753054e-09 
95:	-6.748179e-10 -9.654229e-10 
96:	 9.888094e-10  1.514373e-10 
97:	-5.479937e-10 -2.242682e-10 
98:	-9.748545e-10 -1.055698e-09 
99:	-2.277975e-11 -1.161223e-09 
100:	 5.903827e-10  7.211020e-10 
101:	-1.773597e-09  1.003134e-09 
102:	 9.452065e-10  1.107490e-09 
103:	-6.208755e-10 -1.786306e-09 
104:	-2.655859e-09 -2.777042e-09 
105:	-1.643808e-09  6.633276e-10 
106:	-3.972434e-10  1.215367e-09 
107:	-9.156754e-10 -8.575907e-10 
108:	 1.128907e-09  1.728451e-09 
109:	 1.042255e-09  1.075586e-09 
110:	-5.901182e-10 -4.223457e-10 
111:	 5.354669e-10 -2.234849e-09 
112:	-2.321477e-10 -3.692108e-10 
113:	-1.166620e-09  1.276709e-09 
114:	-1.283179e-08  4.208036e-09 
115:	 4.873558e-10 -1.779052e-09 
116:	-1.838863e-10 -1.416044e-09 
117:	-1.356856e-10  1.999680e-09 
118:	 1.801290e-09 -8.354577e-10 
119:	 2.705220e-10  4.783303e-10 
120:	 7.912151e-10 -3.002809e-10 
121:	 4.727469e-10  9.093569e-10 
